OneTwoReturn_RMA::BTW,MwSt.
OneTwoReturn_RMA::Re-stock,Sichtretour und/oder eintauschen
OneTwoReturn_RMA::Repair,Garantieretoure
OneTwoReturn_RMA::Type,Typ
OneTwoReturn_RMA::Parts recovery,Teileersatz
OneTwoReturn_RMA::Recycling,Recycling
OneTwoReturn_RMA::Re-use,Wiederverwendung
OneTwoReturn_RMA::Refurbishment,Sanierung
OneTwoReturn_RMA::Re-manufacturing,Remanufacturing
OneTwoReturn_RMA::Re-marketing,Re-marketing
OneTwoReturn_RMA::Scrap,Verschrotten
OneTwoReturn_RMA::Swap,Tauschen
OneTwoReturn_RMA::Warranty,Garantieretoure
OneTwoReturn_RMA::Warranty redemption,Garantieauszahlung
OneTwoReturn_RMA::Terug,Zurück
OneTwoReturn_RMA::Order selectie,Bestellungsauswahl
OneTwoReturn_RMA::Producten,Produkte
OneTwoReturn_RMA::Vervoerders,Transporteure
OneTwoReturn_RMA::Checkout,Checkout
OneTwoReturn_RMA::Uw RMA referentie nummer:,Ihre RMA-Referenznummer:
OneTwoReturn_RMA::Bedankt voor uw retour.,Vielen Dank für Ihre Retour
OneTwoReturn_RMA::noActiveSupply,Bitte wahlen
OneTwoReturn_RMA::Nieuwe retour,Neue Rücksendung
OneTwoReturn_RMA::errorGettingCountries,Fehler beim Öffnen der Daten
OneTwoReturn_RMA::transporttationsCosts,Versandkosten
OneTwoReturn_RMA::productname,Produkte
OneTwoReturn_RMA::newretour,Neue Rücksendung
OneTwoReturn_RMA::supplychain,Transporteure
OneTwoReturn_RMA::orderProduct,Produkte
OneTwoReturn_RMA::BTW,MwSt.
OneTwoReturn_RMA::STK,Sichtretour und/oder eintauschen
OneTwoReturn_RMA::RPR,Garantieretoure
OneTwoReturn_RMA::type,Typ
OneTwoReturn_RMA::PRY,Teileersatz
OneTwoReturn_RMA::REC,Recycling
OneTwoReturn_RMA::REU,Wiederverwendung
OneTwoReturn_RMA::RFT,Sanierung
OneTwoReturn_RMA::RMG,Remanufacturing
OneTwoReturn_RMA::RMK,Re-marketing
OneTwoReturn_RMA::SCR,Verschrotten
OneTwoReturn_RMA::SWP,Tauschen
OneTwoReturn_RMA::WAR,Garantieretoure
OneTwoReturn_RMA::WRN,Garantieauszahlung
OneTwoReturn_RMA::orderSelectie,Bestellung
OneTwoReturn_RMA::Ordered,Besteld
OneTwoReturn_RMA::Returning,Rückkehr
OneTwoReturn_RMA::Returned,zurück
